LSOA21CD,med_price_dec_21
E01013289,182250.0
E01013290,220000.0
E01013291,148995.0
E01013292,160000.0
E01013293,200000.0
E01013294,212500.0
E01013295,139500.0
E01013296,75000.0
E01013297,127500.0
E01013298,114975.0
E01013299,95000.0
E01013300,64250.0
E01013301,130000.0
E01013302,140000.0
E01013303,101250.0
E01013304,259000.0
E01013305,225000.0
E01013306,265000.0
E01013307,215000.0
E01013308,119000.0
E01013309,262500.0
E01013310,102000.0
E01013311,102000.0
E01013312,82500.0
E01013313,113250.0
E01013314,125000.0
E01013315,116250.0
E01013316,192500.0
E01013317,137000.0
E01013318,144715.0
E01013319,110000.0
E01013320,132500.0
E01013321,160000.0
E01013322,191000.0
E01013323,297500.0
E01013324,275000.0
E01013325,225000.0
E01013326,251725.0
E01013327,180000.0
E01013328,218000.0
E01013329,218725.0
E01013330,70000.0
E01013331,101250.0
E01013332,112000.0
E01013333,155000.0
E01013334,138000.0
E01033296,142750.0
E01033297,140000.0
E01013335,220150.0
E01013336,294000.0
E01013337,250000.0
E01013338,270000.0
E01013339,270000.0
E01013340,429000.0
E01013341,275000.0
E01013342,280655.0
E01013343,218000.0
E01013344,435000.0
E01013345,235000.0
E01013346,312000.0
